Title,Abstract,PCE ID,Decision,Publication Year,Publication Type,Reason
Visual hallucinations associated with varenicline: A case report,"Introduction. Varenicline is widely used for smoking cessation. It has shown efficacy over placebo and bupropion in manufacturer-sponsored trials. Those with mental illness were excluded from these trials. There are case reports of exacerbation of mental illness and development of psychiatric symptoms with varenicline use. Case presentation. A 61-year-old male Caucasian being treated for post-traumatic stress disorder, depression not otherwise specified and alcohol dependence, was prescribed varenicline while he was in a post-traumatic stress disorder/alcohol dual diagnosis treatment program. He developed visual hallucinations, which became worse with titration of the medication. These symptoms resolved upon discontinuation of varenicline. Conclusion. Patients with mental illness have a higher incidence of nicotine dependence, and attempts should be made for smoking cessation. Varenicline has not been widely tested in this population. There are reports of exacerbation of mental illness, and probable causation of psychiatric symptoms in the mentally ill. Providers should be aware of this possibility and advise their patients appropriately. © 2009 licensee BioMed Central Ltd.",535,Exclude,2009,Article,Study design
Virtual reality and psychedelics for the treatment of psychiatric disease: A systematic literature review,"Objective: Hallucinogenic substances or psychedelic drugs have been historically used by humans worldwide for centuries, and interest grows around them because of the therapeutic potential that they pose for mental disease. Virtual Reality (VR), has been highly developed and improved in the last decade, and it is also gaining importance due to their potential as therapeutic tools. In this article, the most recent and relevant information regarding the medical applications of both VR and psychedelics was highlighted, and diverse potential therapeutic uses were explored in hope to set the ground for further research on this topic. Method: A systematic literature review using the PRISMAmethods was conducted in PubMed, Medline, Embase, Cochrane Library, Scopus and Web of Science, including only peer-reviewed clinical trials or case studies written in English, that address the use of psychedelics and/or VR for the treatment of psychiatric disorders and that measure the success of the therapies. A final selection of 23 manuscripts were used in this systematic review. Results: VR showed security and significant efficacy in the management of special cases of phobias (social, motion pain and spiders), eating disorder, post-traumatic stress disorder (PTSD), gambling disorder, preoperative anxiety and schizophrenia. Conclusions: The hallucinogenic drugs evaluated exhibited positive effects in treatment of depressive and anxiety disorders, alcohol dependence and PTSD. More research is needed in order to test the effectiveness of these therapies (alone or together) in different mental illnesses and different populations.",534,Exclude,2020,Article,Review
Vintage treatments for PTSD: A reconsideration of tricyclic drugs,"Serotonin (SSRI) and serotonin-norepinephrine (SNRI) reuptake inhibitors (SSRI) are the first-line recommended drug treatments for post-traumatic stress disorder (PTSD); but despite their benefits, much residual pathology remains and no new drugs have yet emerged with a clearly demonstrated benefit for treating the disorder. A case is made that tricyclic drugs deserve a closer look, based on their ability to affect several of the main neurotransmitters that are relevant to PTSD. Their promising efficacy, which was shown 30 years ago, had not been followed up, until a recent trial of desipramine found advantages over a SSRI in PTSD with comorbid alcohol dependence. Opportunities exist for studying newer and purportedly safer tricyclic formulations, as well as further the work with older, established compounds. A reappraisal of their risk:benefit ratio seems in order, when treating PTSD.",533,Exclude,2015,Article,Review
"Venlafaxine XR for major depressive disorder after spinal cord injury: Rationale, results, and recommendations","Objective: To examine the efficacy and tolerability of venlafaxine XR (VFNXR) for major depressive disorder (MDD) in people with SCI. Design: Multisite, randomized (1:1), double-blind, placebo-controlled trial. Subjects were block randomized and stratified by site, prior history of MDD, and lifetime history of substance dependence. Participants/Methods: Participants were recruited from outpatient clinics at 6 SCI treatment centers. Subjects were 18-64, at least 1 month SCI, with DSM-IV MDD or dysthymic disorder and no suicidal intent or plan. The primary outcome was the Hamilton Depression Rating Scale (HAM-D) at 12 weeks. Results: A total of 2,536 people were screened, 133 were randomized, and 126 (95%) were retained. Participants were on average 40 years old, 47% had cervical injuries, and 53% had AIS A SCI. Common comorbidities were chronic pain (94%), substance dependence (47%), and PTSD (48%). Mixed model regression revealed no significant differences between the VFNXR and placebo groups on improvement in depression severity (HAM-D) from baseline to 12 weeks. There was a nonsignificant trend for a larger proportion of people with a history of substance dependence to achieve remission on VFNXR (50%) compared to placebo (25%; P = .06), an effect that was statistically significant among completers (P = .048). Conclusions: Future research should examine the efficacy of alternative treatments (eg, behavior activation, cognitive therapy, physical activity), combined treatment, or intensified treatment approaches. VFNXR may be an effective antidepressant for certain SCI subgroups.",532,Exclude,2013,Conference Abstract,Disease
Venlafaxine XR for depression and pain in spinal cord injury: Major outcomes,"Background: Depression and pain aremajor sources of suffering in people with spinal cord injury (SCI). Effective treatments for these conditions are lacking. We wanted to determine whether venlafaxine XR (VFNXR) is an effective treatment for major depressive disorder (MDD) or pain in SCI. Design: We conducted a 12-week, 1:1 randomized, double-blind, placebo-controlled trial of VFNXR in people with SCI and MDD. The trial was conducted at six SCI centers in the US. Primary outcomes were the Hamilton Depression Rating Scale (HAM-D) and 0-10 numerical rating scale of pain intensity measured at baseline 1, 3, 6, 8, 10, and 12 weeks. Methods: We screened 2536 people, randomized 133 (69 to VFNXR vs. 64 to placebo) and retained 126 (95%) at 12 weeks. Sample characteristics: 74% male, mean age 40 years, 57% non-Hispanic white, 53% AIS A, and 53% had paraplegia. High prevalence comorbidities included chronic pain (93%), probable post-traumatic stress disorder (48%) and marijuana use (32%). The primary analysis was intent-to-treat and used a mixed model regression comparing improvement in depression severity in the two groups while controlling for stratification variables and any confounders. Results: Randomization was effective. The effects of VFNXR and placebo on depression severity were equivalent (mean HAM-D = 9.5 (7.3) in the VFNXR group vs. 9.5 (6.5) in the placebo group. Analysis of self-report depression measures and completers analyses yielded similar results. Pains were divided into neuropathic versus non-neuropathic based on pain characteristics. Decreases in pain were greater in the VFNXR group versus control group for non-neuropathic pain (P = 0.013) but not for neuropathic pain. Half of those on VFNXR demonstrated at least a 50% reduction in pain severity from baseline to 12 weeks, compared to only 28% in the placebo group (P = 0.016). Conclusions: VFNXR is not more effective than placebo as a treatment for MDD after SCI. However, VFNXR did result in statistically and clinically significant reductions in non-neuropathic pain compared to placebo in people with SCI and MDD.",531,Exclude,2013,Conference Abstract,Disease
Venlafaxine in the treatment of panic disorder,"Venlafaxine XR is a novel, dual acting SNRI antidepressant, which inhibits both serotonin and norepinephrine reuptake. Controlled trials have demonstrated the efficacy and safety of venlafaxine in the treatment of panic disorder. Generally well tolerated, with side-effects that usually abate with continued treatment, venlafaxine is an important option to the SSRIs for the treatment of patients with panic disorder. © 2007 Dove Medical Press Limited. All rights reserved.",530,Exclude,2007,Article,Review
Venlafaxine in the treatment of atypical facial pain: A randomized controlled trial,"Aims: To study in a randomized placebo-controlled design the efficacy of the antidepressant venlafaxine, a serotonin and a weak noradrenaline reuptake inhibitor, in the treatment of atypical facial pain (AFP). Methods: The study was a randomized, double-blind, crossover comparison of venlafaxine and a placebo. It consisted of 2 treatment periods, each of 4 weeks' duration, separated by a 2-week washout period. Thirty patients suffering from chronic pain who had been diagnosed with AFP after a thorough clinical examination were recruited. Pain intensity and pain relief were registered at 6 visits. Anxiety, depression, and adverse effects were recorded. Venous blood samples were collected at the end of each treatment period for the determination of serum levels of venlafaxine and its metabolites. Results: Twenty patients completed the trial. Eight patients discontinued because of adverse effects and 2 patients were excluded because of noncompliance. Two patients completed the trial but were excluded from the analysis because they experienced no pain at the baseline visit. There was no significant difference in pain intensity reduction between the maximum tolerated dose of venlafaxine (75 mg in most cases) and the placebo. Pain relief was significantly greater with venlafaxine than with the placebo treatment. Significantly more escape medication was consumed during the placebo period compared with the venlafaxine period. No significant correlation was found between the serum concentration of the drug and the response to treatment. Anxiety and depression scores did not differ between venlafaxine and placebo treatment. Adverse effects were equally common during both treatments. Conclusion: Venlafaxine was only modestly effective in the treatment of AFP.",529,Exclude,2004,Article,Disease
Venlafaxine in chronic daily headache,"Objective: To determine efficacy of venlafaxine, a new anti-depressant in the treatment of chronic daily headache. Method: This study was carried out on patients having chronic daily headache at PTT Teaching Hospital Neurology Department, Istanbul. Patients treated with venlafaxine for three months were followed up to determine their response to drug. The results were reported as improvement, no change, or increase in headache frequency. Results: Nineteen of 42 patients reported improvement; 11, no change; 5, an increase in headache frequency and 7 patients gave up treatment because of side effects within fifteen days. The most common side effect was fatigue. Fifteen patients had no side effect. Conclusion: Venlafaxime may be considered as an effective drug for chronic daily headache prophylaxy, especially in patients not taking any other medication. However, placebo controlled studies are needed to confirm these findings.",528,Exclude,2001,Article,Disease
Venlafaxine extended release (XR) for the prophylaxis of migraine and tension-type headache: A retrospective study in a clinical setting,"Objective. - To assess the efficacy of extended-release venlafaxine in the prophylaxis of migraine and chronic tension-type headache. Background. - Venlafaxine, a structurally novel antidepressant, is a selective serotonin-norepinephrine reuptake inhibitor. This study is the first to test the effects of extended-release venlafaxine on headaches. Methods. - Patients were evaluated on a retrospective basis. Fifty-six patients with chronic tension-type headache and 114 patients with migraine were prescribed extended-release venlafaxine. Nearly all the study subjects had been resistant to several previous preventive medications. Patients took venlafaxine for an average of 6 months with a median dose of 150 mg (range, 37.5 to 300 mg). Results. - The mean frequency of headaches in the group with chronic tension-type headache fell from 24.0 to 15.2 per month (P<.0001). The group with migraine showed a reduction from 16.1 to 11.1 headaches per month (P<.0001). The medicine was well tolerated. Conclusions. - This trial indicates that extended-release venlafaxine has potential in headache prophylaxis based on its efficacy and safety profile. We recommend a double-blind, placebo-controlled study to further assess the role of extended-release venlafaxine in headache prevention.",526,Exclude,2000,Article,Study design
VE-MMODE – A randomized controlled trial of Venlafaxine versus Escitalopram for treatment of mild to moderate depression in persons with epilepsy,"Objectives: Depression in persons with epilepsy (PWE) goes undiagnosed and untreated. Despite being common, there are no direct efficacy comparisons of available antidepressants in PWE. Our aim was to compare the effectiveness of Venlafaxine (VEN) and Escitalopram (ESCIT) in comorbid depression in PWE. Methods: In a single-center, prospective, double-blinded randomized controlled trial (RCT) 90 PWE (age ?18 years) with mild to moderate depression, were randomized in a 1:1 ratio to receive ESCIT (5–20 mg/day) or VEN (37.5–150 mg/day) for 8 weeks. The primary outcome was to study differences in the efficacy, based on the change in scores of the Hamilton depression rating scale (HAM-D) at 8 weeks. Seizure frequency, QOLIE-31, adverse event profile, and medication adherence were secondary outcome measures. Results: Using the NDDI-E scale, we screened 350 PWE, 90 were enrolled. ITT analysis included all participants and the PP analysis included 40 participants to VEN group and 42 to ESCIT group. Baseline mean (±SD) HAM-D scores for both groups were similar (13.53 ± 3.27; 13.02 ± 3.57). The mean difference (95%CI) on HAM-D scores at 8 weeks was found to be significant within both groups (ITT/PP- VEN: 7.75(6.75, 8.79)/7.92 (7.06, 8.78); p < 0.001, ESCIT: 8.21 (7.39, 9.03)/8.23(7.43, 9.04); p < 0.001). However, there was no significant difference in the efficacy of VEN versus ESCIT at 8 weeks. A significant improvement in QOLIE-31 index and seizure frequency was observed from baseline in both the groups. 90% of those on VEN and 92.9% of those using ESCIT adhered to the treatment at week 8. Adverse events were more in VEN group than the ESCIT group. Conclusions: This study found that HAMD scores improved significantly in the ESCIT and VEN groups, despite the fact that there was no clinically meaningful difference observed between the two groups. Trials with a larger sample size and longer duration are required to establish whether ESCIT or VEN is superior.",525,Exclude,2023,Article,Disease
"Varenicline augmentation in depressed smokers: An 8-week, open-label study","Objective: To assess possible antidepressant effects of varenicline augmentation in outpatients with treatment-resistant depressive disorders and nicotine dependence. Background: Varenicline is a nicotinic acetylcholine receptor ?4?2 partial agonist and ?7 full agonist approved for smoking cessation. Studies of similar compounds have suggested evidence of antidepressant effects. Method: Eighteen patients (aged 18 to 65 years) were recruited from a general psychiatric outpatient clinic. Inclusion criteria were (1) primary Axis I depressive disorder (DSM-IV-TR criteria), (2) a stable antidepressant or mood stabilizer regimen, (3) persistent depressive symptoms despite adequate treatment, and (4) current cigarette smoking with nicotine dependence. Patients received varenicline (started at 0.5 mg daily and titrated to 1 mg twice daily) in addition to stable doses of their regular psychotropic medications. Depression symptoms, side effects, clinical global impressions, anhedonia, daily cigarette consumption, and vital signs were assessed every 2 weeks for 8 weeks. Baseline and endpoint ratings were compared, and the relationship between mood improvement and smoking cessation was examined. The primary outcome variable was mean change score in depressive symptoms as assessed by the 16-item Quick Inventory of Depressive Symptomatology-Self- Report. The study was conducted between September 2007 and March 2008. Results: Fourteen patients (78%) completed the study; 4 discontinued due to side effects, including gastrointestinal effects (n = 3) and worsened mood/irritability (n = 1). Patients demonstrated significant improvement in depression at end point (p < .001), with significant improvement as early as week 2. Eight patients (44%) met criteria for categorical response, and 6 (33%) reached remission criteria; the overall effect size was large. All patients were interested in smoking cessation: 8 (44%) achieved abstinence and 9 (50%) had some reduction in smoking. Improvement in depressive symptoms was correlated with smoking cessation. There was no evidence of treatment-emergent suicidality. Conclusion: Open-label varenicline augmentation was associated with significant improvement in mood in a small sample of outpatient smokers with persistent depressive symptoms. Larger, double-blind studies are needed to investigate potential antidepressant effects of varenicline augmentation. Trial Registration: clinicaltrials.gov Identifier: NCT00525837 © Copyright 2009 Physicians Postgraduate Press, Inc.",524,Exclude,2009,Article,Disease
Validation of the massachusetts general hospital Antidepressant Treatment History Questionnaire (ATRQ),"The low rate of response to antidepressants in treatment resistant depression (TRD) justifies studies of next-step therapies following a treatment failure. In TRD clinical trials, it is important to verify the accurate diagnosis of treatment resistance for all enrolled subjects using a reliable and valid instrument. Self-rated scales can reduce the impact of investigator bias and reduce the time burden for clinical researchers. The Massachusetts General Hospital (MGH) Antidepressant Treatment Response Questionnaire (ATRQ) is a self-rated scale used to determine treatment resistance in major depressive disorder (MDD). The ADAPT-A study is a multi-center double-blind, placebo-controlled study of low-dose aripiprazole adjunctive to ADT among outpatients with TRD. At the screening assessment, potential subjects completed the MGH ATRQ. The ADAPT-A medical monitors subsequently performed remote patient interviews and obtained detailed medication histories. The data obtained from the MGH ATRQ and by the medical monitors were compared for congruency. Of the 186 patients enrolled by the local sites, no subjects deemed treatment resistant by the MGH ATRQ were found to be nonresistant by the medical monitors. In 76.3% (n = 142) of the subjects, the number of failed adequate antidepressant trials reported by the MGH ATRQ was concordant with the data collected by medical monitors. In 16.1% (n = 30) of all cases, the medical monitors found a greater number of failed trials; in 7.5% (n = 14) of cases, the medical monitors found fewer failed medication trials. The discrepancy was by more than one medication trial in only 4.0% (n = 7) of cases. We found the MGH ATRQ to be relatively concordant in its assessment of treatment resistance in depression compared with independent clinical researchers. Although the MGH ATRQ tended to underreport the number of unsuccessful treatment trials relative to the clinical interviews, its accuracy in cases it detected was confirmed by raters. © 2009 Blackwell Publishing Ltd.",523,Exclude,2010,Article,Study design
Validation and clinical application of the Metacognitions Questionnaire in a sample of Brazilian generalized anxiety disorder patients: the effects of different treatment interventions,"Introduction: Metacognitive beliefs about worry may trigger anxiety. However, the effect of generalized anxiety disorder (GAD) treatment on metacognition has not yet been investigated. Objectives: To validate the Metacognitions Questionnaire (MCQ-30) in a Brazilian GAD sample and verify whether different interventions reduce metacognitive beliefs. Method: We recruited 180 GAD individuals and randomized them to Body in Mind Training (BMT), Fluoxetine (FLX), or an active control group (Quality of Life [QoL]) for 8 weeks. The MCQ-30 was assessed for internal consistency, was evaluated with confirmatory and exploratory factor analyses, and was tested for convergent validity with the Penn State Worry Questionnaire (PSWQ). Generalized estimating equations (GEE) were employed to analyze differences after the interventions. Results: The MCQ-30 demonstrated good internal consistency and acceptability; the original five-factor model was supported. There was a positive moderate correlation between MCQ-30 scores and worry. GEE showed a significant group x time interaction (p < 0.001). Both BMT (mean difference [MD] =-6.04, standard error [SE] =-2.39, p = 0.034) and FLX (MD =-5.78, SE = 1.91, p = 0.007) reduced MCQ-30 scores. FLX was superior to QoL, but not BMT, at weeks 5 and 8. There were no differences between BMT and QoL. Conclusion: The Brazilian-Portuguese version of MCQ-30 showed good psychometric properties. Furthermore, the positive effect of FLX and BMT on metacognition suggests it may represent a potential therapeutic target.",522,Exclude,2023,Article,Disease
